t,H,L
1733.0,1.844371862609082,5.582914599842807
1734.0,1.8443951240640273,5.58324760078097
1735.0,1.8444184841478137,5.583580551648495
1736.0,1.8444419428023484,5.583913452593902
1737.0,1.8444654999696157,5.584246303765529
1738.0,1.8444891555916783,5.584579105311536
1739.0,1.8445129096106756,5.584911857379901
1740.0,1.8445367619688249,5.585244560118424
1741.0,1.8445607126084202,5.585577213674724
1742.0,1.844584761471833,5.585909818196242
1743.0,1.844608908501511,5.586242373830243
1744.0,1.8446331536399785,5.58657488072381
1745.0,1.8446574968298366,5.586907339023852
1746.0,1.8446819380137625,5.587239748877098
1747.0,1.844706477134509,5.587572110430103
1748.0,1.8447311141349054,5.587904423829244
1749.0,1.8447558489578564,5.588236689220721
1750.0,1.8447806815463421,5.58856890675056
1751.0,1.8448056118434182,5.588901076564613
1752.0,1.8448306397922154,5.5892331988085555
1753.0,1.8448557653359396,5.589565273627888
1754.0,1.8448809884178716,5.589897301167937
1755.0,1.8449063089813664,5.5902292815738575
1756.0,1.844931726969854,5.590561214990629
1757.0,1.8449572423268383,5.590893101563059
1758.0,1.844982854995898,5.591224941435782
1759.0,1.8450085649206849,5.5915567347532615
1760.0,1.8450343720449254,5.5918884816597885
1761.0,1.845060276312419,5.5922201822994815
1762.0,1.8450862776670391,5.59255183681629
1763.0,1.8451123760527322,5.592883445353992
1764.0,1.8451385714135178,5.593215008056196
1765.0,1.8451648636934885,5.59354652506634
1766.0,1.84519125283681,5.593877996527691
1767.0,1.8452177387877202,5.594209422583349
1768.0,1.8452443214905299,5.594540803376245
1769.0,1.8452710008896216,5.594872139049141
1770.0,1.8452977769294505,5.595203429744631
1771.0,1.8453246495545437,5.595534675605141
1772.0,1.8453516187094998,5.5958658767729315
1773.0,1.8453786843389894,5.596197033390094
1774.0,1.8454058463877545,5.596528145598556
1775.0,1.8454331048006085,5.596859213540075
1776.0,1.8454604595224358,5.597190237356245
1777.0,1.8454879104981918,5.597521217188496
1778.0,1.845515457672903,5.59785215317809
1779.0,1.845543100991666,5.5981830454661266
1780.0,1.845570840399649,5.598513894193539
1781.0,1.8455986758420893,5.598844699501099
1782.0,1.845626607264295,5.599175461529413
1783.0,1.8456546346116447,5.599506180418922
1784.0,1.8456827578295862,5.599836856309909
1785.0,1.8457109768636373,5.60016748934249
1786.0,1.8457392916593853,5.600498079656622
1787.0,1.845767702162487,5.600828627392097
1788.0,1.8457962083186683,5.601159132688549
1789.0,1.8458248100737245,5.6014895956854485
1790.0,1.8458535073735194,5.6018200165221055
1791.0,1.8458823001639861,5.60215039533767
1792.0,1.8459111883911261,5.602480732271132
1793.0,1.8459401720010091,5.602811027461319
1794.0,1.8459692509397736,5.603141281046905
1795.0,1.8459984251536259,5.603471493166399
1796.0,1.8460276945888405,5.603801663958155
1797.0,1.8460570591917598,5.6041317935603665
1798.0,1.8460865189087938,5.60446188211107
1799.0,1.8461160736864202,5.604791929748144
1800.0,1.8461457234711838,5.60512193660931
1801.0,1.846175468209697,5.605451902832131
1802.0,1.846205307848639,5.605781828554017
1803.0,1.846235242334756,5.606111713912217
1804.0,1.8462652716148618,5.606441559043827
1805.0,1.8462953956358354,5.606771364085786
1806.0,1.8463256143446236,5.607101129174879
1807.0,1.8463559276882386,5.607430854447736
1808.0,1.8463863356137595,5.60776054004083
1809.0,1.846416838068331,5.6080901860904815
1810.0,1.846447434999164,5.608419792732858
1811.0,1.846478126353535,5.60874936010397
1812.0,1.8465089120787863,5.609078888339679
1813.0,1.8465397921223254,5.609408377575691
1814.0,1.8465707664316253,5.609737827947559
1815.0,1.846601834954224,5.610067239590685
1816.0,1.8466329976377247,5.610396612640318
1817.0,1.8466642544297955,5.610725947231556
1818.0,1.8466956052781691,5.6110552434993455
1819.0,1.8467270501306428,5.611384501578481
1820.0,1.8467585889350784,5.611713721603609
1821.0,1.846790221639402,5.612042903709222
1822.0,1.8468219481916042,5.612372048029664
1823.0,1.8468537685397388,5.612701154699132
1824.0,1.8468856826319244,5.613030223851669
1825.0,1.8469176904163427,5.613359255621171
1826.0,1.846949791841239,5.613688250141387
1827.0,1.8469819868549224,5.614017207545915
1828.0,1.8470142754057652,5.614346127968205
1829.0,1.8470466574422029,5.614675011541561
1830.0,1.8470791329127336,5.615003858399137
1831.0,1.847111701765919,5.615332668673943
1832.0,1.847144363950383,5.6156614424988405
1833.0,1.8471771194148123,5.615990180006543
1834.0,1.8472099681079561,5.61631888132962
1835.0,1.8472429099786258,5.616647546600493
1836.0,1.847275944975695,5.616976175951441
1837.0,1.8473090730480997,5.617304769514595
1838.0,1.8473422941448372,5.617633327421942
1839.0,1.8473756082149673,5.617961849805323
1840.0,1.8474090152076108,5.618290336796438
1841.0,1.8474425150719502,5.618618788526839
1842.0,1.8474761077572297,5.618947205127937
1843.0,1.8475097932127544,5.619275586730999
1844.0,1.8475435713878905,5.619603933467148
1845.0,1.8475774422320652,5.619932245467363
1846.0,1.8476114056947668,5.620260522862485
1847.0,1.8476454617255438,5.620588765783208
1848.0,1.8476796102740056,5.620916974360086
1849.0,1.8477138512898221,5.621245148723532
1850.0,1.847748184722723,5.621573289003817
1851.0,1.8477826105224988,5.62190139533107
1852.0,1.8478171286389997,5.622229467835282
1853.0,1.8478517390221358,5.622557506646301
